#ID	Group	Solicit	Course	Entity	Day	Hour	Bld	Type	Room	Vacanc	NPupils	Priori	Special
5362 426 0 13 - 4 2 4 1 -1 60 - 0 - 
5363 426 0 13 - 4 3 4 1 -1 60 - 0 - 
5364 426 0 13 - 4 4 4 1 -1 60 - 0 - 
5365 426 0 13 - 4 5 4 1 -1 60 - 0 - 
5374 280 0 218 - 1 5 17 1 -1 40 - 0 - 
5376 280 0 218 - 4 5 17 1 -1 40 - 0 - 
5379 419 0 13 - 4 2 4 1 -1 60 - 0 - 
5380 419 0 13 - 4 3 4 1 -1 60 - 0 - 
5381 419 0 13 - 4 4 4 1 -1 60 - 0 - 
5382 419 0 13 - 4 5 4 1 -1 60 - 0 - 
5387 419 0 13 - 5 2 4 1 -1 60 - 0 - 
5388 419 0 13 - 5 3 4 1 -1 60 - 0 - 
5389 419 0 13 - 5 4 4 1 -1 60 - 0 - 
5390 419 0 13 - 5 5 4 1 -1 60 - 0 - 
5391 427 0 13 - 1 2 4 2 -1 60 - 0 - 
5392 427 0 13 - 1 3 4 2 -1 60 - 0 - 
5393 427 0 13 - 1 4 4 2 -1 60 - 0 - 
5394 427 0 13 - 1 5 4 2 -1 60 - 0 - 
5395 427 0 13 - 2 2 4 1 -1 60 - 0 - 
5396 427 0 13 - 2 3 4 1 -1 60 - 0 - 
5397 427 0 13 - 2 4 4 1 -1 60 - 0 - 
5398 427 0 13 - 2 5 4 1 -1 60 - 0 - 
5399 427 0 13 - 3 2 4 1 -1 60 - 0 - 
5400 427 0 13 - 3 3 4 1 -1 60 - 0 - 
5401 427 0 13 - 3 4 4 1 -1 60 - 0 - 
5402 427 0 13 - 3 5 4 1 -1 60 - 0 - 
5403 427 0 13 - 4 2 4 2 -1 60 - 0 - 
5404 427 0 13 - 4 3 4 2 -1 60 - 0 - 
5405 427 0 13 - 4 4 4 2 -1 60 - 0 - 
5406 427 0 13 - 4 5 4 2 -1 60 - 0 - 
5407 427 0 13 - 5 2 4 1 -1 60 - 0 - 
5408 427 0 13 - 5 3 4 1 -1 60 - 0 - 
5409 427 0 13 - 5 4 4 1 -1 60 - 0 - 
5410 427 0 13 - 5 5 4 1 -1 60 - 0 - 
5447 354 0 21 - 2 6 1 1 -1 50 - 0 - 
5448 354 0 21 - 2 7 1 1 -1 50 - 0 - 
5451 428 0 22 - 2 4 1 1 -1 50 - 0 - 
5452 428 0 22 - 2 5 1 1 -1 50 - 0 - 
5563 439 0 218 - 2 3 17 1 -1 40 - 0 - 
5564 439 0 218 - 2 4 17 1 -1 40 - 0 - 
5565 439 0 218 - 2 5 17 1 -1 40 - 0 - 
5571 440 0 218 - 2 3 17 1 -1 40 - 0 - 
5572 440 0 218 - 2 4 17 1 -1 40 - 0 - 
5573 440 0 218 - 2 5 17 1 -1 40 - 0 - 
5575 441 0 218 - 2 3 17 1 -1 40 - 0 - 
5576 441 0 218 - 2 4 17 1 -1 40 - 0 - 
5577 441 0 218 - 2 5 17 1 -1 40 - 0 - 
5579 442 0 218 - 5 5 17 1 -1 40 - 0 - 
6184 467 0 212 - 2 14 18 2 -1 40 - 0 - 
6185 467 0 212 - 2 15 18 2 -1 40 - 0 - 
6186 467 0 212 - 2 16 18 2 -1 40 - 0 - 
6187 467 0 212 - 2 17 18 2 -1 40 - 0 - 
6218 470 0 24 - 1 4 4 1 -1 60 - 0 - 
6219 470 0 24 - 1 5 4 1 -1 60 - 0 - 
6220 470 0 24 - 3 4 4 1 -1 60 - 0 - 
6221 470 0 24 - 3 5 4 1 -1 60 - 0 - 
6222 470 0 24 - 5 4 4 1 -1 60 - 0 - 
6223 470 0 24 - 5 5 4 1 -1 60 - 0 - 
6292 252 0 202 - 1 3 17 1 -1 50 - 0 - 
6293 252 0 202 - 1 4 17 1 -1 50 - 0 - 
6294 252 0 202 - 2 3 17 1 -1 50 - 0 - 
6295 252 0 202 - 2 4 17 1 -1 50 - 0 - 
6302 253 0 202 - 3 5 17 1 -1 50 - 0 - 
6304 253 0 202 - 4 5 17 1 -1 50 - 0 - 
6306 253 0 202 - 5 5 17 1 -1 50 - 0 - 
6462 470 0 24 - 1 6 15 2 -1 46 - 0 - 
6463 470 0 24 - 1 7 15 2 -1 46 - 0 - 
6464 470 0 24 - 1 8 15 2 -1 46 - 0 - 
6465 470 0 24 - 1 9 15 2 -1 46 - 0 - 
6466 470 0 24 - 4 6 15 2 -1 46 - 0 - 
6467 470 0 24 - 4 7 15 2 -1 46 - 0 - 
6468 470 0 24 - 4 8 15 2 -1 46 - 0 - 
6469 470 0 24 - 4 9 15 2 -1 46 - 0 - 
6474 471 0 24 - 1 4 4 1 -1 60 - 0 - 
6475 471 0 24 - 1 5 4 1 -1 60 - 0 - 
6476 471 0 24 - 3 4 4 1 -1 60 - 0 - 
6477 471 0 24 - 3 5 4 1 -1 60 - 0 - 
6478 471 0 24 - 5 4 4 1 -1 60 - 0 - 
6479 471 0 24 - 5 5 4 1 -1 60 - 0 - 
6484 471 0 24 - 3 2 4 1 -1 60 - 0 - 
6485 471 0 24 - 3 3 4 1 -1 60 - 0 - 
6486 471 0 24 - 5 2 4 1 -1 60 - 0 - 
6487 471 0 24 - 5 3 4 1 -1 60 - 0 - 
6492 471 0 24 - 1 6 15 2 -1 45 - 0 - 
6493 471 0 24 - 1 7 15 2 -1 45 - 0 - 
6494 471 0 24 - 4 6 15 2 -1 45 - 0 - 
6495 471 0 24 - 4 7 15 2 -1 45 - 0 - 
6522 473 0 24 - 3 2 4 1 -1 60 - 0 - 
6523 473 0 24 - 3 3 4 1 -1 60 - 0 - 
6528 473 0 24 - 1 4 4 1 -1 60 - 0 - 
6529 473 0 24 - 1 5 4 1 -1 60 - 0 - 
6530 473 0 24 - 3 4 4 1 -1 60 - 0 - 
6531 473 0 24 - 3 5 4 1 -1 60 - 0 - 
6649 506 0 264 - 5 9 14 1 -1 40 - 0 - 
6650 506 0 264 - 5 10 14 1 -1 40 - 0 - 
6744 512 0 199 - 1 2 17 1 -1 50 - 0 - 
6746 512 0 199 - 2 2 17 1 -1 50 - 0 - 
6748 512 0 199 - 3 2 17 1 -1 50 - 0 - 
6750 512 0 199 - 4 2 17 1 -1 50 - 0 - 
6751 512 0 199 - 1 3 17 1 -1 50 - 0 - 
6752 512 0 199 - 1 4 17 1 -1 50 - 0 - 
6753 512 0 199 - 2 3 17 1 -1 50 - 0 - 
6754 512 0 199 - 2 4 17 1 -1 50 - 0 - 
6755 512 0 199 - 1 5 17 1 -1 50 - 0 - 
6757 512 0 199 - 2 5 17 1 -1 50 - 0 - 
6759 512 0 199 - 3 3 17 1 -1 50 - 0 - 
6760 512 0 199 - 3 4 17 1 -1 50 - 0 - 
6761 512 0 199 - 4 3 17 1 -1 50 - 0 - 
6762 512 0 199 - 4 4 17 1 -1 50 - 0 - 
6763 512 0 199 - 3 5 17 1 -1 50 - 0 - 
6765 512 0 199 - 4 5 17 1 -1 50 - 0 - 
6767 512 0 199 - 5 5 17 1 -1 50 - 0 - 
6770 512 0 199 - 5 2 17 1 -1 50 - 0 - 
6771 512 0 199 - 5 3 17 1 -1 50 - 0 - 
6772 512 0 199 - 5 4 17 1 -1 50 - 0 - 
6774 513 0 199 - 1 2 17 1 -1 50 - 0 - 
6776 513 0 199 - 2 2 17 1 -1 50 - 0 - 
6778 513 0 199 - 3 2 17 1 -1 50 - 0 - 
6780 513 0 199 - 4 2 17 1 -1 50 - 0 - 
6782 513 0 199 - 5 2 17 1 -1 50 - 0 - 
6783 513 0 199 - 1 3 17 1 -1 50 - 0 - 
6784 513 0 199 - 1 4 17 1 -1 50 - 0 - 
6785 513 0 199 - 2 3 17 1 -1 50 - 0 - 
